model_name,accuracy,precision,recall,f1_score
Random Forest,0.5825833333333333,0.5140358340385941,0.5825833333333333,0.545919076398972
Decision Tree,0.54675,0.5271873456016251,0.54675,0.5177110039860304
Logistic Regression,0.49575,0.4364955866071505,0.49575,0.4642323280491892
